,name,real_name,creator,gender,race
0,Redeemer III,Eddie Frank,Image Comics,Male,not-human
1,Redeemer II,Phil Timper,Image Comics,Male,not-human
2,Overtkill,Nicholas Rocca,Image Comics,Male,not-human
3,Curse,Phillip Krahn,Image Comics,Male,not-human
4,Cogliostro,Cain,Image Comics,Male,not-human
5,Billy Kincaid,Billy Kincaid,Image Comics,Male,not-human
6,Anti-Spawn,The Redeemer,Image Comics,Male,not-human
7,Unicron,Unicron,Hasbro,Male,not-human
8,Soundwave,Soundwave,Hasbro,Male,not-human
9,Dracula,Vlad Tepes Dracula,Konami,Male,not-human
10,IT,Pennywise the Dancing Clown,Stephen King,Male,not-human
11,Shao Kahn,Shao Kahn,Mortal Kombat,Male,not-human
12,Skeletor,Keldor,Mattel,Male,not-human
